id,type,model,year,VIN
976,Mercury,Cougar,1993,5FNRL5H24EB985414
977,Lotus,Esprit,1991,JTJBM7FX1D5826002
978,Volkswagen,Corrado,1990,2G4GP5EX7F9230951
979,GMC,Savana 1500,2005,1G4HP54K814132355
980,BMW,5 Series,2008,WVGEP9BP5FD696643
981,Hyundai,Tucson,2010,5UXFB53525L698866
982,Chrysler,Town & Country,1993,3D4PH1FG4BT292195
983,BMW,600,1958,WA1AM94LX9D487922
984,Mercury,Villager,2002,1FTEW1CW8AK840329
985,Mercury,Sable,2004,SALAF2D4XAA570023
986,Land Rover,LR4,2012,KNAFU6A23D5432430
987,Mitsubishi,Galant,2001,WDDNG7DB2CA033138
988,GMC,Yukon,2010,WAUBGBFC0CN473712
989,Mazda,CX-7,2012,1N4AB7AP7DN873259
990,Eagle,Talon,1996,WBA1M1C56FV178896
991,Kia,Rio,2003,WBANN73516C748834
992,Mercury,Sable,2002,WAUJGAFD5FN386178
993,Honda,Civic,2012,1G6AB5R35D0752844
994,Dodge,Intrepid,1995,WAUSH98EX7A243046
995,Ford,E150,2005,1HGCR6F58EA612992
996,Nissan,Maxima,2009,4USBU33506L772358
997,Buick,Riviera,1999,WBAWR33589P892489
998,Chevrolet,Cobalt,2008,WBAEB53509C360561
999,Saab,9000,1998,WVWAP7AN8EE490233
1000,Pontiac,G3,2009,WAUKG98E06A545852
